category,title,context,group,url,contact
科普推廣,社群媒體,"中研院自105年成立「中央研究院」臉書專頁，以將中研院研究成果推向網路社群，目前粉絲數已逾17萬人。中研院自108年亦開通Instagram帳號，讓更多年輕族群了解中研院研究成果，目前追蹤數約2.9萬人。
中研院105年起設立YouTube平臺(中央研究院官方影音頻道)，以透過網路影音與大眾分享中研院研究成果及科普演講，目前訂閱人數近9.4萬人，共上傳影片320部。",生活,https://www.facebook.com/sinicaedu/,郭小姐 2633
團體參訪,團體參訪,中研院歡迎國內機關團體來院參觀，院內目前設有6個參觀館別，包括跨學組博物館與環境教育中心，另有親近自然的生態池與森林步道，以上均可申請導覽解說。詳細申請方式請上秘書處網站查詢。,生活,https://sec.sinica.edu.tw/pages/1561,2787-2565
學術研究,研究成果刊登,各單位研究成果或訊息刊登申請，請參考秘書處網站說明。,學術,https://sec.sinica.edu.tw/pages/4196,2787-2565
導覽參訪,導覽改期或取消,請逕向申請參訪單位聯繫或與本院秘書處聯絡：Email: sc@gate.sinica.edu.tw，電話：02-2787-9727,生活,https://sec.sinica.edu.tw/pages/1561,宋小姐 2789-9727
導覽參訪,預約歷史文物陳列館,請逕向歷史文物陳列館申請。(網址:https://museum.sinica.edu.tw/tour-reservation/),生活,https://museum.sinica.edu.tw/tour-reservation/,宋小姐 2789-9727
導覽參訪,預約民族學研究所,請逕向民族學研究所博物館申請。(https://www.ioe.sinica.edu.tw/Content/Messages/Msg_content.aspx?SiteID=530164225631412251&MenuID=530210513460520432&FID=),生活,https://www.ioe.sinica.edu.tw/Content/Messages/Msg_content.aspx?SiteID=530164225631412251&MenuID=530210513460520432&FID=,宋小姐 2789-9727
導覽參訪,預約胡適紀念館,請逕向胡適紀念館申請。(https://www.mh.sinica.edu.tw/koteki/service2_1.aspx),生活,https://www.mh.sinica.edu.tw/koteki/service2_1.aspx,宋小姐 2789-9727
導覽參訪,預約嶺南美術館,請逕向嶺南美術館申請。(https://lnfam.sinica.edu.tw/posts/185868),生活,https://lnfam.sinica.edu.tw/posts/185868,宋小姐 2789-9727
導覽參訪,預約生態池、森林步道、生態時代館,請與本院秘書處聯絡：Email: sc@gate.sinica.edu.tw，電話：02-2789-9727,生活,https://sec.sinica.edu.tw/pages/1561,宋小姐 2789-9727
導覽參訪,小孩參訪,"幼兒園小朋友建議預約生態館或行政中心前的大草皮,國小至高中階段學生可以預約參訪有興趣的館別。",生活,https://sec.sinica.edu.tw/pages/1561,宋小姐 2789-9727
導覽參訪,參訪天氣,參訪或導覽如期進行，除非遇不可抗力因素如颱風等，若有其他變動，院方會主動通知您。,生活,https://sec.sinica.edu.tw/pages/1561,宋小姐 2789-9727
新聞媒體,新聞發佈,請聯繫本院媒體公共事務小組02-2787-2717，或將需求寄至媒體小組連絡信箱：asmedia＠gate.sinica.edu.tw,生活,,李小姐  2787-2717
資訊宣傳,研究成果刊登,請參考本院網站資訊https://www.sinica.edu.tw/CP/562，填寫「各單位訊息刊登申請表」，並寄送至webnews@gate.sinica.edu.tw,生活,https://www.sinica.edu.tw/CP/562,李小姐  2787-2717
資訊宣傳,活動訊息宣傳,請參考本院網站資訊https://sec.sinica.edu.tw/pages/4196，填寫「各單位訊息刊登申請表」，並寄送至webnews@gate.sinica.edu.tw,生活,https://sec.sinica.edu.tw/pages/4196,李小姐  2787-2717
